구분,상황 묘사,관련 Message,판단 방법,세부 로직,대응 설계
"운용자 재계획","임무 중 운용자가 즉시 재계획을 요구","0801","정책(수동)","1) 0801 수신→timestamp 최신 확인→ReplanSituations 적재. 2) replanLevel=1/replanReason=운용자. 3) 미완료 inputMissionID 수집. 4) 옵션=시스템추천 1개. 5) missionPlanID 요청 유지 or 중앙 발급.","1) 0902 수신→0305 status=1 push. 2) divide&pattern→IMP/0301/0303/0304 생성. 3) pathID 교정(next_path_id). 4) packageID 누락 시 최신 스냅샷 보충. 5) DB 기록 후 0301/0305/0901 push, 0305 status=2."
"강제대기 재계획","mandatoryType=1 강제대기 후 10초 경과","0802","룰+지연","1) 0802 수신→hold_state(deadline=10s, reason) 기록, 기체 availability OFF. 2) 10초 후 동일 timestamp면 replanLevel=1 큐 적재. 3) 제외 기체 필터링.","1) 제외 기체 제거 후 divide&pattern. 2) missionPlanID 유지/발급. 3) pathID 교정→0301/0305/0901 push. 4) hold_state·가용성 초기화."
"강제귀환 재계획","mandatoryType=2 강제귀환 명령","0802","룰","1) 0802 수신 즉시 replanLevel=1 후보. 2) 기체 availability OFF, 제외 목록 추가. 3) 입력/옵션 계산 시 제외 적용. 4) replanReason=강제귀환.","1) 제외 기체 빼고 divide&pattern→IMP/0301/0303/0304. 2) missionPlanID 유지/발급. 3) pathID 교정→0301/0305/0901 push."
"재투입/복귀 재계획","mandatoryType=3 재투입/복귀 명령","0802","룰+상태 해제","1) availability ON. 2) hold_state 존재 시 resume_requested_timestamp만 기록하고 대기. 3) 해제 시 replanLevel=1 큐 적재, 제외 목록 제거.","1) 재투입 기체 포함 divide&pattern 재실행→IMP/0301/0303/0304 재생성. 2) missionPlanID 유지/발급. 3) pathID 검증/교정→0301/0305/0901 push."
"협업 일시정지 재계획","협업기저임무 중 execute=2 일시정지","0803","룰+스테이징","1) execute=2 수신→collab_replan_trigger(replanLevel=3, reason=재수행) 설정. 2) packageID/timestamp 중복 확인. 3) 미완료 inputMissionID 집계. 4) 옵션 3종 준비, missionPlanID 3개 발급.","1) 옵션별 divide&pattern variant→IMP/0301/0303/0304. 2) collab_replan_state=in-flight 유지. 3) pathID 교정. 4) 0301/0305/0901 push. 5) 0305 status=2 수신 시 해제."
"입력 임무 갱신 재계획","새 InputMissionPlan 수신 또는 timestamp 변경","0201","변경 감지+스테이징","1) packageID/timestamp 변화 감지→collab_replan_trigger(replanLevel=3, reason=입력 갱신). 2) 최신 미완료 inputMissionID 재계산. 3) 옵션 3종, missionPlanID 발급/유지.","1) divide&pattern→IMP/0301/0303/0304. 2) pathID 교정. 3) 0301/0305/0901 push. 4) 중복 방지 키 업데이트."
"선행임무/좌표 재계획","선행임무(0202)나 좌표 요청으로 경로만 수정","0202","특수 룰(경로 중심)","1) replanLevel=4 또는 prior 옵션→prior_mission_pipeline 실행. 2) 0201_prior 최신 파일 로드. 3) replanDetail 없어도 경로 수정.","1) missionPlanID 요청 우선/없으면 스캔+증가. 2) pathID 재할당·불일치 교정. 3) IMP 최소 수정, FlightPath 재저장. 4) 0301/0305/0901 push."
"선행임무/타겟 반영","선행임무 detail에 타겟/좌표 포함","0202","특수 룰+우선","1) detail target/missionType 존재→prior_mission_pipeline이 좌표/타겟 우선. 2) missionType=2면 autoTracking 설정. 3) pathID 재할당 후 일관 적용.","1) 타겟 지향 prior로 FlightPath 재작성, IMP 최소 수정. 2) missionPlanID 유지/발급. 3) pathID 교정→0301/0305/0901 push."
"타겟 신규 탐지","targetInfo에 actionable 타겟 신규","0402","룰(타겟 필터)","1) unknown- 아님/isUsed=0/isDestroyed=False/lastUpdated↑→payload(trigger=0402...) 생성. 2) preferredOptionCount=3. 3) replanLevel=2 큐 적재, isUsed=1 마킹. 4) 공격 플래그 시 공격 파이프라인 선택.","1) 옵션=공격 강화/배제(옵션ID 4/5), planID 발급. 2) run_attack_plan_pipeline 또는 divide&pattern→IMP/0301/0303/0304. 3) pathID 교정→0301/0305/0901 push."
"ROI 경고 지속","unknown-* ROI caution 1000초 지속","0402(ROI)","룰(타임아웃)","1) ROI caution ON→스냅샷/타이머 시작. 2) timeout→trigger=0402_ROI payload 생성. 3) replanLevel=2 큐 적재.","1) 옵션 기본 3종, planID 발급. 2) divide&pattern으로 ROI 재탐색/촬영 경로 생성. 3) pathID 교정→0301/0305/0901 push→caution 리셋."
"DL 소실/위험 예측","DL이 소실/위험 확률 임계 초과 예측","(DL 이벤트)","예측+히스테리시스","1) DL 출력(위험도/ETA/위치)→ReplanSituations 변환. 2) replanLevel=1~2 매핑 규칙 정의. 3) 슬루레이트/히스테리시스 적용. 4) 예측 위치를 replanDetail에 포함.","1) DL 이벤트→0902 자동 생성(스테이징 포함). 2) 옵션: 회피/복귀/대체 기체 투입 병렬. 3) planID 발급. 4) divide&pattern으로 회피/복귀 경로 생성. 5) confidence/적용 여부 로그·GUI 표기."
"개별 상태 룰 고도화","연료/링크/비행·촬영 계획 미준수 조합","0401+상태DB","룰(상태 조합)","1) Status Fact→Situation Fact(운용 불가/RTB/추적모드 전환/경로·촬영 재계획) 매핑. 2) 중복 억제. 3) 우선순위: 안전>임무 실패>추적/공격.","1) 상태룰→ReplanSituations. 2) replanLevel 1/2 매핑. 3) RTB/회피/재분배 옵션 포함 0902 템플릿. 4) GUI에 상태→상황→트리거 체인 표시."
"복합 상황 우선 결정","여러 UAV/임무 상황 묶어 최우선 결정","다중 상태","룰+우선순위 큐","1) Situation Fact 집계→Complex Fact(다수 소실/지역 위협/스케줄 미준수). 2) 우선순위 큐 최고만 ConfirmedReplanRequest. 3) 쿨다운으로 반복 억제.","1) 우선순위 모듈을 manage_replan_triggers 전에 배치. 2) 상황별 권장 replanLevel·옵션 정의. 3) 0902 reason에 Complex ID 기재. 4) 중복/시간 창 관리."
"스테이징·검증 강화","트리거 실행 전 가용성/중복 검증","내부 로직","스테이징+룰","1) 트리거 적재 후 연료/링크/스케줄 점검. 2) 중복·진행 중 재계획 여부 확인. 3) 충족 시 0902 생성, 미충족 시 대기/취소 기록.","1) _maybe_stage_replan 확장(가용성/중복/시간 창). 2) GUI에 대기/취소 상태·사유 표시. 3) 미충족 트리거 재평가/폐기."
"ID/Stack 전략 표준화","임무 Stack vs 새 ID 발급 선택","내부 로직","정책+룰","1) 전면 재계획: missionPlanID 신규. 2) 부분/경로 수정: 요청/기존 ID 유지+교정. 3) pathID: 기체별 next_path_id. 4) prior/공격/타겟은 재할당 우선.","1) 상황별 ID 전략 테이블화. 2) GUI/로그에 ID 전략 표기. 3) Stack 재사용 시 파일 유효성 검증."
"DL 스케줄 예측","DL이 스케줄 미준수/지속성 위험 예측","(DL 이벤트)","예측+우선순위","1) DL 출력→Individual Rule 전달. 2) 임계 초과 시 Situation Fact. 3) 동시 예측 시 최고 위험 우선. 4) 백오프/수동 확인 마련.","1) DL 이벤트→ReplanSituations→우선순위 큐. 2) replanLevel 매핑(예: 스케줄 예측=레벨2). 3) 옵션: 지속/회피/재분배 병렬. 4) replanDetail 근거 포함."
"연료 임계 임박","연료가 임계치 이하","0401 연료","룰","1) 연료% 임계 미만 감지→Situation: RTB 필요/임무 축소. 2) replanLevel=1.","1) RTB/최단 경로 옵션 포함 0902 생성. 2) divide&pattern 경유지 최소화. 3) planID 유지/발급. 4) 0301/0305/0901 push."
"링크 불안정","데이터 링크 품질 악화/끊김","0401 링크","룰","1) 링크 품질 임계 미만 or 끊김 감지→운용 불가/RTB 필요. 2) replanLevel=1.","1) 통신 복구 지점 경유 or RTB 경로 생성. 2) 통신복구/복귀 옵션 추가. 3) 0902 push."
"페이로드 고장","EO/IR 페이로드 고장","0401 페이로드","룰","1) 페이로드=고장→촬영/추적 불가 판단. 2) replanLevel=2.","1) 촬영 임무를 다른 기체로 재배정. 2) 해당 기체 제외 divide&pattern. 3) 새 planID 발급. 4) 0301/0305/0901 push."
"비행 계획 미준수","비행 계획 이탈","0401 계획 준수","룰","1) 계획 이탈 이벤트 감지. 2) replanLevel=2.","1) 이탈 구간 재분할→경로 재작성. 2) pathID 교정. 3) 0301/0305/0901 push."
"촬영 계획 미준수","촬영 타임라인 미준수","0401 촬영 준수","룰","1) 촬영 계획 미준수 감지. 2) replanLevel=2.","1) 촬영 포인트/슬롯 재배치. 2) 경로/촬영 계획 동기화. 3) 0301/0305/0901 push."
"협업 리더 소실","편대 리더 소실","복합","룰+우선","1) 리더 소실 Fact. 2) 리더 재선정/임무 재배정 필요. 3) replanLevel=1.","1) 리더 재선정 알고리즘. 2) 경로/촬영 재분배. 3) 리더/편대별 planID 재할당. 4) 0902 push."
"광역 수색/경계 전환","추적 종료 후 광역 수색 전환","추적 종료","룰","1) 추적 종료 감지. 2) 수색/경계 모드 전환 필요. 3) replanLevel=2.","1) 광역 수색 패턴 생성. 2) 옵션(넓이/속도) 제공. 3) 0301/0305/0901 push."
"추적 모드 전환 필요","표적 발견 후 추적 모드 전환","0402+상태","룰","1) 표적 발견+모드≠추적. 2) replanLevel=2.","1) 추적 경로/촬영 모드 재계획. 2) 옵션: 추적 지속/협업 추적. 3) 0902 push."
"추적 종료 후 재배치","추적 종료 후 다른 임무로 재배치","추적 종료","룰","1) 추적 종료 감지. 2) 대기/재배치 판단. 3) replanLevel=2.","1) 대체 임무/경계 구역 재배정. 2) 경로 재작성. 3) 0902 push."
"다수 UAV 동시 RTB","여러 기체 동시 RTB 필요","복합","룰+우선","1) RTB 필요 기체 n대 이상 감지. 2) 우선/순차 RTB 결정. 3) replanLevel=1.","1) RTB 순서/경로 최적화. 2) 충돌/중복 회피. 3) 0902 push."
"임무 스케줄 미준수 예측","DL이 SLA 초과 예상","DL 이벤트","예측","1) ETA>SLA 예측 감지. 2) Situation 생성. 3) replanLevel=2.","1) 스케줄 유지/축소/재분배 옵션 생성. 2) divide&pattern 재실행. 3) 0902 push."
"지역 위협도 급상승","특정 지역 위협 상승(DL+룰)","0402+DL","하이브리드","1) 위협 지표 임계 초과 감지. 2) 회피/재계획 필요. 3) replanLevel=3.","1) 회피/우회 촬영 경로 생성. 2) 옵션에 회피/지속 안 제공. 3) 0902 push."
"현장 기지 임무 전환","현장 기지 임무 완료 후 전환","현장 기지","정책/룰","1) 기지 임무 완료 이벤트. 2) 다음 우선 임무 전환. 3) replanLevel=2.","1) Stack에서 다음 임무 활성. 2) planID 유지/발급. 3) 경로/촬영 재작성. 4) 0902 push."
"GUI 수동 재배치","운용자 GUI 재배치/재분배 명령","수동","정책","1) GUI 명령 수신. 2) 재배치 대상/옵션 파싱. 3) replanLevel=1.","1) 대상 기체/임무 재분배. 2) planID 유지/발급. 3) 0902 push."
"우선순위 쿨다운 억제","동일 상황 반복 트리거 억제","내부","우선+쿨다운","1) 동일 Situation ID 반복 감지. 2) 쿨다운 적용→신규 트리거 억제/지연.","1) 쿨다운 타이머/히스토리 관리. 2) 유효 트리거만 0902 생성. 3) 억제 사유 로그."
"설명가능성/로그 강화","트리거-결정-0902 투명 기록","내부","정책+가시성","1) 모든 트리거에 원인/우선/replanLevel/옵션/ID 전략 태깅. 2) 로그/GUI 표시.","1) Pipeline 로그/GUI에 근거 노출. 2) replanDetail에 원인/결정 사유 포함. 3) 감사 추적성 확보."
